,F_0,F_1,F_2,F_max,deltaF,R2_score,C_half,dFdC_half,C_lift,C_slow,deltaC,Fluorophore
E18,3127.2736108490913,3172.947758543282,3182.0113641007724,3274.199949743629,146.92633889453782,0.9831554806131455,39.8756074257677,3.1982680300066244,38.0,41.76,3.759999999999998,Texas Red
E19,3002.1090653464553,3147.6434771239146,3162.9352630934136,3199.591788777973,197.48272343151757,0.8435348758444383,35.87456820470448,16.099261157685525,29.87,41.88,12.010000000000002,Texas Red
E20,3015.796992802616,3190.9305293114353,3203.2410172583454,3263.7847554769014,247.98776267428548,0.8699978810376617,37.76029958093342,12.725478169218844,33.29,42.23,8.939999999999998,Texas Red
E21,3084.336328905256,3250.4018230543534,3427.4337473056844,3616.374801641451,532.0384727361952,0.7249517063821467,53.999911234908495,77.64245227439027,53.34,54.66,1.3199999999999932,Texas Red
E22,3096.7644153387077,3140.383176238691,3147.813623616778,3236.2116296592476,139.44721432053984,0.9863856297493954,39.557649378556654,3.0861511558956423,38.27,40.85,2.5799999999999983,Texas Red
E23,3130.8931541119787,3178.661532930855,3181.1968269349377,3269.2722732878065,138.37911917582778,0.9584182711272956,42.28763925347807,1.5847393858659697,41.63,42.95,1.3200000000000003,Texas Red
E24,3038.8759049135606,3038.8759049135606,3067.8338229428223,3215.365836127549,176.48993121398826,0.979614149834925,9.994598447112388e-32,18.97892788195392,0.0,7.15,7.15,Texas Red
F1,3132.622849662934,3369.5560565298624,4058.930370330092,4296.701066303045,1164.078216640111,0.999089179028401,38.828376451555,300.16018301637064,36.72,40.93,4.210000000000001,Texas Red
F2,3204.9736724880713,3442.388602412342,4157.740440120534,4395.05228819305,1190.0786157049788,0.9980907902363542,38.389593415590326,312.7476368625795,36.26,40.52,4.260000000000005,Texas Red
F3,3167.843201954759,3234.815520474829,3238.1217866584634,3320.0103805804506,152.16717862569158,0.9697770755452906,53.99959323435687,1.9652874947764567,53.34,54.66,1.3199999999999932,Texas Red
F4,3092.8585151923908,3134.9038413280705,3138.5624045779296,3238.646056741024,145.78754154863327,0.9247582738615084,35.49488831920515,2.100471074293514,34.84,36.15,1.3099999999999952,Texas Red
F5,3128.447870518915,3168.6641780429422,3174.6986659969543,3265.693764862448,137.2458943435331,0.9784765752264029,36.84897995486701,2.500813691079358,35.58,38.12,2.539999999999999,Texas Red
F6,3153.070216416438,3226.0108274331433,3230.4698132922404,3319.923644678994,166.853428262556,0.9686735170728017,53.891622996259876,2.5080101914691744,53.23,54.55,1.3200000000000003,Texas Red
F7,3067.754361432475,3230.6786471974006,3243.3336022127387,3286.276507981277,218.52214654880208,0.8065828685080312,33.860082199082456,11.932860066030782,29.46,38.26,8.799999999999997,Texas Red
F8,3124.541379987513,3240.877184651549,3249.229846347081,3284.358088977895,159.8167089903818,0.5010021543880386,34.78792082517887,6.753972942486988,31.39,38.19,6.799999999999997,Texas Red
