,F_0,F_1,F_2,F_max,deltaF,R2_score,C_half,dFdC_half,C_lift,C_slow,deltaC,Fluorophore
D2,4070.787349370846,6408.482634220153,4070.787349370846,6947.793737721066,2877.0063883502194,0.996436168358798,121.10650538803793,785.4253701400622,118.16,0.0,-118.16,FAM
D3,4169.338727436229,4563.020823481007,5187.511344745302,5788.134355189732,1618.7956277535022,0.9972662470991716,50.28391633547554,113.14674798126067,31.3,69.26,37.96000000000001,FAM
D4,4388.589839562172,9010.2451526648,20284.67531959923,25163.13357715411,20774.543737591935,0.993555514339947,48.490702888075425,4857.326621921027,44.82,52.17,7.350000000000001,FAM
D5,4657.63338734092,9039.168479677515,21012.379819278558,25381.82426806285,20724.19088072193,0.9987247527554907,56.55588248779001,5184.595184994505,53.46,59.66,6.199999999999996,FAM
D6,4476.450505672456,9170.719379933813,20814.96084188568,25662.63976786891,21186.189262196454,0.9952427330066554,51.84400241104064,5019.4752089621925,48.09,55.6,7.509999999999998,FAM
D7,3920.6636424822204,8582.078757824542,18655.649798593568,23819.244718135647,19898.581075653427,0.99964705450012,49.07950799254469,4306.321397503436,45.19,52.97,7.780000000000001,FAM
D8,4760.378219531017,9546.42782560205,21759.301743236676,26569.632849786107,21809.25463025509,0.9962974669040988,57.316774046591085,5275.514376830241,53.74,60.9,7.159999999999997,FAM
D9,4116.081452699629,9466.967079951279,20845.694471596224,26126.887096616192,22010.805643916563,0.9992511142321471,61.711907358818685,4876.650743572748,57.98,65.44,7.460000000000001,FAM
D10,3476.9864300646163,3641.8812688429534,4110.926325882805,5451.588505272959,1974.6020752083427,0.9927680959091538,18.707771112839787,96.29001114608147,8.7,28.72,20.02,FAM
D11,4533.955933136658,9913.499225444635,20583.60946181264,25912.678194136075,21378.722260999417,0.9976115833767,60.74829823415771,4413.493401919927,52.15,69.35,17.199999999999996,FAM
D12,4301.602653528657,8847.237292995178,18335.258667987775,23350.105572236866,19048.502918708207,0.9992332076103941,51.793239644175664,3943.380563664336,43.88,59.7,15.82,FAM
E1,4460.905938035246,,,7318.723849392812,2857.817911357565,0.988134825911946,143.99577256012893,30.335821872222144,,,,FAM
E2,4432.5910711468205,8149.5117940958835,9933.041721577185,10084.144155166658,5651.553084019837,0.9953809986552347,116.90448651673555,741.6527668273077,114.41,119.4,4.990000000000009,FAM
E3,4813.11135395042,8563.556587934545,4813.11135395042,8563.556587934545,3750.4452339841246,0.9907325388494236,123.88964071968313,8614.750204649676,119.99,0.0,-119.99,FAM
E4,5321.969363162371,9915.565642372632,22684.338749603827,27269.977324400712,21948.00796123834,0.9978823863199716,45.342690283032574,5536.443389834289,42.53,48.16,5.6299999999999955,FAM
E5,5571.354639264481,10383.329425612224,23666.701340348376,28479.02616894211,22907.671529677627,0.9935971816058132,42.4451087464814,5751.995678426757,39.31,45.58,6.269999999999996,FAM
E6,4826.683451644274,9791.616429049258,21683.511593772637,27052.650435603937,22225.96698395966,0.9990045357861963,47.5239024707704,5094.730747767369,42.38,52.66,10.279999999999994,FAM
E7,5260.399436422319,10648.09942786914,22957.775053289704,29130.04482183827,23869.64538541595,0.9953859136200575,43.12099959431107,5295.953315049,40.1,46.14,6.039999999999999,FAM
E8,5057.399532639568,10404.7903779538,23323.06425602197,29303.817390903787,24246.41785826422,0.9989001511840118,41.71490619575863,5559.062324018856,38.07,45.36,7.289999999999999,FAM
